iter	Logloss
0	0.6115548611
1	0.5367936611
2	0.4739068985
3	0.4229513645
4	0.3733998775
5	0.330739665
6	0.3013103247
7	0.2706984997
8	0.2415429115
9	0.2185827732
10	0.202200985
11	0.1861207247
12	0.1703416586
13	0.1629315495
14	0.1508867979
15	0.1405793905
16	0.1322276592
17	0.1233623266
18	0.1173182249
19	0.1125385523
20	0.1078107715
21	0.1029840469
22	0.09919963479
23	0.09423884153
24	0.0923489213
25	0.08997784853
26	0.08786956668
27	0.08535266519
28	0.08221780062
29	0.08071274757
30	0.07967538834
31	0.07801998854
32	0.07616438866
33	0.0741964519
34	0.07267416716
35	0.07146132588
36	0.07008421421
37	0.06897103786
38	0.0679173708
39	0.06716656685
40	0.06616796255
41	0.06491655111
42	0.06415747404
43	0.06314219236
44	0.06224470139
45	0.06179431677
46	0.06056236625
47	0.05986536741
48	0.05944167376
49	0.05891625285
50	0.05837653875
51	0.05762395859
52	0.0571071744
53	0.05649476647
54	0.0560126543
55	0.05551168919
56	0.05506318808
57	0.05469390154
58	0.05410428047
59	0.05365989804
60	0.05315741301
61	0.05284531116
62	0.05229014158
63	0.05193866491
64	0.0514975667
65	0.05115678906
66	0.05064660311
67	0.05013357997
68	0.04969560802
69	0.04940049052
70	0.04915123582
71	0.0489058286
72	0.04852415919
73	0.04818043709
74	0.04786995649
75	0.04765934348
76	0.04730052948
77	0.04705017507
78	0.04665405154
79	0.04633900821
80	0.04609223008
81	0.04548510313
82	0.04527721405
83	0.04497079253
84	0.04469896257
85	0.04447870255
86	0.04419651926
87	0.0439681381
88	0.04373956919
89	0.04357052743
90	0.04332274199
91	0.04285199642
92	0.04252613187
93	0.04223563075
94	0.04201117754
95	0.04173690677
96	0.04146778584
97	0.04116533697
98	0.04089671075
99	0.0406655252
100	0.04032074809
101	0.04001888037
102	0.03954250216
103	0.039465186
104	0.0391716361
105	0.03899826407
106	0.0387205869
107	0.03826886415
108	0.03811030388
109	0.03782786727
110	0.03749755621
111	0.03730323017
112	0.03713162541
113	0.03685078621
114	0.03662352562
115	0.03640721142
116	0.03630182743
117	0.0361620754
118	0.03584939539
119	0.03574368656
120	0.03550106287
121	0.0352855444
122	0.03511011004
123	0.03482513726
124	0.03465434313
125	0.0342805922
126	0.03393718004
127	0.03378784955
128	0.03348104358
129	0.03325717449
130	0.03292452097
131	0.03282344341
132	0.03262304068
133	0.03253387213
134	0.03241631985
135	0.03231655359
136	0.0319386214
137	0.03181828856
138	0.03154334426
139	0.03143880069
140	0.03125376105
141	0.03111727834
142	0.03103769124
143	0.03083751798
144	0.03077438474
145	0.03041716814
146	0.03020323515
147	0.02999786735
148	0.02992583513
149	0.02985592782
150	0.0296724081
151	0.02957866788
152	0.02930707335
153	0.0292301774
154	0.02890841365
155	0.02883313298
156	0.02874986529
157	0.02853143215
158	0.02837684453
159	0.02834044695
160	0.02828603089
161	0.02807228863
162	0.02787902057
163	0.02768986821
164	0.02756391764
165	0.02744125724
166	0.02736485004
167	0.02724924684
168	0.02717549205
169	0.02687597871
170	0.02669230402
171	0.02652229071
172	0.02621678412
173	0.02593469322
174	0.02587706745
175	0.02579636574
176	0.02573721409
177	0.02554220557
